time stamp,Node_ID,Temp,Moist
2022-03-09 13:02,9,27.06,41.22
2022-03-09 13:09,3,27.41,38.37
2022-03-09 13:11,10,27.41,42.04
2022-03-09 13:19,1,27.06,56.73
2022-03-09 13:22,9,27.41,41.22
2022-03-09 13:23,4,27.76,46.53
2022-03-09 13:24,4,27.76,46.53
2022-03-09 13:29,3,27.41,38.37
2022-03-09 13:33,5,26.71,37.96
2022-03-09 13:38,5,26.71,37.55
2022-03-09 13:39,1,27.06,56.33
2022-03-09 13:42,9,27.41,41.22
2022-03-09 13:43,6,27.41,40
2022-03-09 13:44,4,27.76,46.53
2022-03-09 13:46,6,27.06,36.73
2022-03-09 13:49,3,27.41,38.37
2022-03-09 13:50,7,27.06,36.73
2022-03-09 13:52,7,27.06,
2022-03-09 13:57,8,27.76,35.1
2022-03-09 13:58,5,27.06,37.55
2022-03-09 13:58,8,27.76,35.1
2022-03-09 13:59,1,27.41,56.33
2022-03-09 14:03,4,28.1,46.53
2022-03-09 14:05,6,27.06,36.33
2022-03-09 14:05,9,27.41,40.41
2022-03-09 14:06,9,27.41,40
2022-03-09 14:09,3,27.76,37.96
2022-03-09 14:11,10,28.1,
2022-03-09 14:12,7,27.06,33.88
2022-03-09 14:12,10,28.1,41.22
2022-03-09 14:13,10,28.1,41.22
2022-03-09 14:17,5,27.06,37.14
2022-03-09 14:18,8,28.1,35.1
2022-03-09 14:19,1,27.41,56.33
2022-03-09 14:21,11,27.41,37.96
2022-03-09 14:23,4,28.1,46.53
2022-03-09 14:25,6,27.06,36.33
2022-03-09 14:25,9,27.76,40.41
2022-03-09 14:29,3,27.76,37.96
2022-03-09 14:30,12,28.1,34.69
2022-03-09 14:31,12,28.1,33.47
2022-03-09 14:32,7,27.06,33.47
2022-03-09 14:32,12,28.1,33.06
2022-03-09 14:33,10,28.45,41.22
2022-03-09 14:37,2,27.41,36.73
2022-03-09 14:37,5,27.06,37.14
2022-03-09 14:38,8,28.1,35.1
2022-03-09 14:39,1,27.41,56.33
2022-03-09 14:41,11,27.41,37.55
2022-03-09 14:42,2,27.41,36.73
2022-03-09 14:43,4,28.45,46.53
2022-03-09 14:45,6,27.06,36.33
2022-03-09 14:45,9,27.76,40.41
2022-03-09 14:47,2,27.41,36.73
2022-03-09 14:49,3,28.1,37.96
2022-03-09 14:52,2,27.41,36.73
2022-03-09 14:52,7,27.41,33.47
2022-03-09 14:52,12,28.1,33.06
2022-03-09 14:53,10,28.8,41.22
2022-03-09 14:57,2,27.41,36.73
2022-03-09 14:57,5,27.41,37.14
2022-03-09 14:58,8,28.45,34.69
2022-03-09 14:59,1,27.41,56.33
2022-03-09 15:01,11,27.41,37.55
2022-03-09 15:02,2,27.76,36.73
2022-03-09 15:03,4,28.45,46.53
2022-03-09 15:05,6,27.41,36.33
2022-03-09 15:05,9,28.1,40
2022-03-09 15:07,2,27.76,36.73
2022-03-09 15:09,3,28.1,37.96
2022-03-09 15:12,2,27.76,36.73
2022-03-09 15:12,7,27.41,33.47
2022-03-09 15:12,12,28.45,33.06
2022-03-09 15:13,10,29.14,41.22
2022-03-09 15:17,2,27.76,36.73
2022-03-09 15:18,8,28.8,34.69
2022-03-09 15:19,1,27.76,55.92
2022-03-09 15:21,11,27.76,37.55
2022-03-09 15:22,2,27.76,36.73
2022-03-09 15:23,4,28.8,46.53
2022-03-09 15:25,6,27.41,36.33
2022-03-09 15:25,9,28.1,40
2022-03-09 15:27,2,27.76,36.73
2022-03-09 15:29,3,28.45,37.96
2022-03-09 15:32,2,27.76,36.73
2022-03-09 15:32,7,27.41,33.06
2022-03-09 15:32,10,29.49,41.22
2022-03-09 15:32,12,28.45,33.06
2022-03-09 15:37,2,27.76,36.73
2022-03-09 15:37,5,27.41,37.14
2022-03-09 15:38,1,27.76,55.92
2022-03-09 15:38,8,29.14,34.69
2022-03-09 15:41,11,27.76,37.14
2022-03-09 15:42,2,27.76,36.73
2022-03-09 15:43,4,29.14,46.12
2022-03-09 15:45,6,27.41,36.33
2022-03-09 15:47,2,27.76,36.73
2022-03-09 15:49,3,28.45,37.96
2022-03-09 15:51,7,27.76,33.06
2022-03-09 15:52,2,27.76,36.73
2022-03-09 15:52,10,30.18,41.22
2022-03-09 15:52,12,28.8,33.06
2022-03-09 15:57,2,27.76,36.73
2022-03-09 15:57,5,27.76,37.14
2022-03-09 15:58,1,27.76,55.92
2022-03-09 15:58,8,29.49,34.69
2022-03-09 16:01,11,28.1,37.14
2022-03-09 16:02,2,28.1,36.73
2022-03-09 16:03,4,29.14,46.12
2022-03-09 16:05,6,27.76,35.92
2022-03-09 16:05,9,28.45,40
2022-03-09 16:07,2,28.1,36.73
2022-03-09 16:09,3,28.8,37.96
2022-03-09 16:11,7,27.76,33.06
2022-03-09 16:12,2,28.1,36.73
2022-03-09 16:12,10,30.53,41.22
2022-03-09 16:12,12,28.8,33.06
2022-03-09 16:17,2,28.1,36.73
2022-03-09 16:17,5,27.76,36.73
2022-03-09 16:18,1,28.1,55.92
2022-03-09 16:18,8,29.49,34.69
2022-03-09 16:21,11,28.1,37.14
2022-03-09 16:22,2,28.1,36.73
2022-03-09 16:23,4,29.49,46.12
2022-03-09 16:25,6,27.76,35.92
2022-03-09 16:25,9,28.45,40
2022-03-09 16:27,2,28.1,36.73
2022-03-09 16:29,3,28.8,37.55
2022-03-09 16:31,7,28.1,32.65
2022-03-09 16:32,2,28.1,36.73
2022-03-09 16:32,10,30.88,40.82
2022-03-09 16:32,12,28.8,33.06
2022-03-09 16:37,2,28.1,36.73
2022-03-09 16:37,5,28.1,36.73
2022-03-09 16:38,1,28.1,56.33
2022-03-09 16:38,8,29.84,34.69
2022-03-09 16:40,11,28.45,37.14
2022-03-09 16:42,2,28.1,36.73
2022-03-09 16:43,4,29.49,46.12
2022-03-09 16:45,6,27.76,35.92
2022-03-09 16:45,9,28.8,40
2022-03-09 16:47,2,28.1,36.73
2022-03-09 16:48,3,29.14,37.55
2022-03-09 16:51,7,28.1,32.65
2022-03-09 16:52,2,28.1,36.73
2022-03-09 16:52,12,29.14,33.06
2022-03-09 16:57,2,28.45,36.73
2022-03-09 16:57,5,28.1,36.73
2022-03-09 16:58,1,28.1,56.33
2022-03-09 16:58,8,30.18,34.69
2022-03-09 17:00,11,28.8,37.14
2022-03-09 17:02,2,28.45,36.73
2022-03-09 17:03,4,29.84,46.12
2022-03-09 17:05,9,28.8,40
2022-03-09 17:07,2,28.45,36.73
2022-03-09 17:08,3,29.14,37.55
2022-03-09 17:11,7,28.1,32.65
2022-03-09 17:12,2,28.45,36.73
2022-03-09 17:12,10,31.92,40.82
2022-03-09 17:12,12,29.49,33.06
2022-03-09 17:17,2,28.45,36.73
2022-03-09 17:17,5,28.1,36.73
2022-03-09 17:18,1,28.45,55.92
2022-03-09 17:18,8,30.18,34.29
2022-03-09 17:20,11,29.14,36.73
2022-03-09 17:23,2,28.45,36.33
2022-03-09 17:23,4,29.84,45.71
2022-03-09 17:25,6,28.1,35.92
2022-03-09 17:28,2,28.45,36.33
2022-03-09 17:28,3,29.14,37.55
2022-03-09 17:31,7,28.45,32.65
2022-03-09 17:32,12,29.84,33.06
2022-03-09 17:33,2,28.45,36.33
2022-03-09 17:37,5,28.45,36.33
2022-03-09 17:38,1,28.45,56.33
2022-03-09 17:38,2,28.45,36.33
2022-03-09 17:38,8,30.53,34.29
2022-03-09 17:40,11,29.14,36.73
2022-03-09 17:43,2,28.45,36.33
2022-03-09 17:43,4,30.18,45.71
2022-03-09 17:44,9,29.14,40
2022-03-09 17:45,6,28.45,35.92
2022-03-09 17:48,2,28.8,36.73
2022-03-09 17:48,3,29.14,37.55
2022-03-09 17:51,7,28.45,32.24
2022-03-09 17:52,10,32.96,40.82
2022-03-09 17:52,12,29.84,33.06
