Node_ID,gap_start,gap_end,elapsed_minutes,nominal_interval_minutes,approx_missing_readings
1,3/10/2022 0:36,3/10/2022 2:55,139,20,6
1,3/11/2022 10:06,3/11/2022 10:45,39,20,1
1,3/11/2022 11:05,3/11/2022 22:02,657,20,32
1,3/11/2022 23:01,3/11/2022 23:41,40,20,1
1,3/12/2022 6:39,3/12/2022 22:34,955,20,47
1,3/13/2022 9:31,3/13/2022 10:30,59,20,2
1,3/13/2022 19:28,3/13/2022 22:27,179,20,8
1,3/14/2022 12:03,3/14/2022 12:42,39,20,1
1,3/15/2022 3:58,3/15/2022 4:37,39,20,1
1,3/15/2022 15:34,3/15/2022 16:14,40,20,1
1,3/16/2022 13:07,3/16/2022 13:47,40,20,1
1,3/16/2022 14:27,3/16/2022 15:07,40,20,1
1,3/17/2022 8:41,3/17/2022 9:21,40,20,1
1,3/18/2022 12:53,3/18/2022 13:33,40,20,1
1,3/18/2022 13:33,3/18/2022 14:13,40,20,1
1,3/18/2022 21:11,3/18/2022 21:50,39,20,1
1,3/18/2022 22:10,3/19/2022 2:09,239,20,11
1,3/19/2022 5:48,3/19/2022 6:48,60,20,2
1,3/19/2022 8:07,3/19/2022 8:47,40,20,1
1,3/19/2022 11:46,3/19/2022 22:43,657,20,32
1,3/20/2022 4:21,3/20/2022 5:00,39,20,1
1,3/20/2022 8:39,3/20/2022 9:39,60,20,2
1,3/20/2022 10:19,3/20/2022 10:59,40,20,1
1,3/20/2022 11:59,3/20/2022 21:56,597,20,29
1,3/21/2022 0:35,3/21/2022 1:14,39,20,1
1,3/23/2022 0:00,3/23/2022 0:40,40,20,1
1,3/23/2022 15:36,3/23/2022 16:55,79,20,3
1,3/23/2022 17:15,3/23/2022 18:35,80,20,3
1,3/24/2022 9:11,3/24/2022 9:50,39,20,1
1,3/24/2022 17:48,3/24/2022 18:28,40,20,1
1,3/25/2022 1:45,3/25/2022 2:25,40,20,1
1,3/25/2022 7:04,3/25/2022 7:43,39,20,1
1,3/26/2022 13:15,3/26/2022 13:54,39,20,1
1,3/26/2022 18:53,3/26/2022 19:33,40,20,1
1,3/27/2022 11:48,3/27/2022 21:25,577,20,28
1,3/28/2022 0:24,3/28/2022 1:03,39,20,1
1,3/29/2022 1:16,3/29/2022 1:56,40,20,1
1,3/29/2022 5:15,3/29/2022 5:55,40,20,1
1,3/30/2022 5:08,3/30/2022 6:08,60,20,2
1,3/30/2022 8:07,3/30/2022 8:47,40,20,1
1,3/30/2022 13:05,3/30/2022 13:45,40,20,1
1,3/30/2022 14:05,3/30/2022 14:45,40,20,1
1,3/30/2022 17:24,3/30/2022 18:24,60,20,2
1,3/30/2022 19:04,3/30/2022 19:43,39,20,1
1,3/30/2022 19:43,3/30/2022 20:23,40,20,1
1,3/30/2022 21:23,3/30/2022 22:02,39,20,1
1,3/30/2022 23:02,3/30/2022 23:42,40,20,1
1,3/31/2022 0:22,3/31/2022 1:02,40,20,1
2,3/10/2022 0:03,3/10/2022 0:13,10,5,1
2,3/10/2022 0:43,3/10/2022 2:49,126,5,24
2,3/10/2022 11:45,3/10/2022 11:55,10,5,1
2,3/10/2022 16:21,3/10/2022 16:31,10,5,1
2,3/10/2022 17:41,3/10/2022 17:51,10,5,1
2,3/10/2022 17:51,3/10/2022 18:01,10,5,1
2,3/10/2022 18:46,3/10/2022 18:56,10,5,1
2,3/10/2022 21:16,3/10/2022 21:26,10,5,1
2,3/10/2022 23:11,3/10/2022 23:22,11,5,1
2,3/11/2022 0:47,3/11/2022 0:57,10,5,1
2,3/11/2022 5:17,3/11/2022 5:37,20,5,3
2,3/11/2022 5:47,3/11/2022 5:57,10,5,1
2,3/11/2022 6:02,3/11/2022 6:12,10,5,1
2,3/11/2022 6:12,3/11/2022 6:22,10,5,1
2,3/11/2022 6:22,3/11/2022 6:32,10,5,1
2,3/11/2022 6:32,3/11/2022 6:47,15,5,2
2,3/11/2022 7:07,3/11/2022 7:17,10,5,1
2,3/11/2022 7:17,3/11/2022 7:27,10,5,1
2,3/11/2022 7:27,3/11/2022 7:38,11,5,1
2,3/11/2022 7:43,3/11/2022 7:58,15,5,2
2,3/11/2022 8:03,3/11/2022 8:18,15,5,2
2,3/11/2022 8:23,3/11/2022 8:38,15,5,2
2,3/11/2022 8:43,3/11/2022 8:53,10,5,1
2,3/11/2022 9:43,3/11/2022 9:53,10,5,1
2,3/11/2022 10:48,3/11/2022 10:58,10,5,1
2,3/11/2022 11:18,3/11/2022 21:54,636,5,126
2,3/11/2022 21:54,3/11/2022 22:04,10,5,1
2,3/11/2022 22:34,3/11/2022 22:59,25,5,4
2,3/11/2022 23:09,3/11/2022 23:19,10,5,1
2,3/11/2022 23:24,3/11/2022 23:44,20,5,3
2,3/11/2022 23:44,3/11/2022 23:54,10,5,1
2,3/12/2022 0:34,3/12/2022 0:44,10,5,1
2,3/12/2022 3:35,3/12/2022 3:45,10,5,1
2,3/12/2022 4:00,3/12/2022 4:10,10,5,1
2,3/12/2022 5:50,3/12/2022 6:00,10,5,1
2,3/12/2022 6:20,3/12/2022 6:30,10,5,1
2,3/12/2022 6:35,3/12/2022 22:16,941,5,187
2,3/13/2022 2:37,3/13/2022 2:47,10,5,1
2,3/13/2022 9:38,3/13/2022 10:28,50,5,9
2,3/13/2022 11:08,3/13/2022 11:18,10,5,1
2,3/13/2022 19:09,3/13/2022 19:19,10,5,1
2,3/13/2022 19:44,3/13/2022 22:09,145,5,28
2,3/14/2022 4:15,3/14/2022 4:25,10,5,1
2,3/14/2022 4:50,3/14/2022 5:00,10,5,1
2,3/14/2022 6:15,3/14/2022 6:25,10,5,1
2,3/14/2022 8:16,3/14/2022 8:26,10,5,1
2,3/14/2022 8:31,3/14/2022 8:41,10,5,1
2,3/14/2022 8:51,3/14/2022 9:01,10,5,1
2,3/14/2022 9:21,3/14/2022 9:36,15,5,2
2,3/14/2022 9:41,3/14/2022 9:51,10,5,1
2,3/14/2022 10:11,3/14/2022 10:21,10,5,1
2,3/14/2022 11:31,3/14/2022 11:41,10,5,1
2,3/14/2022 11:46,3/14/2022 11:56,10,5,1
2,3/14/2022 12:11,3/14/2022 12:21,10,5,1
2,3/14/2022 13:56,3/14/2022 14:07,11,5,1
2,3/14/2022 17:27,3/14/2022 17:37,10,5,1
2,3/14/2022 18:02,3/28/2022 14:56,19974,5,3994
2,3/28/2022 17:42,3/28/2022 17:52,10,5,1
2,3/29/2022 0:18,3/29/2022 0:33,15,5,2
2,3/29/2022 5:34,3/29/2022 5:44,10,5,1
2,3/29/2022 7:39,3/29/2022 7:49,10,5,1
2,3/29/2022 9:19,3/29/2022 9:29,10,5,1
2,3/29/2022 17:51,3/29/2022 18:01,10,5,1
2,3/29/2022 18:31,3/29/2022 18:41,10,5,1
2,3/29/2022 20:11,3/29/2022 20:21,10,5,1
2,3/29/2022 21:51,3/29/2022 22:01,10,5,1
2,3/30/2022 2:12,3/30/2022 2:22,10,5,1
2,3/30/2022 4:02,3/30/2022 4:12,10,5,1
2,3/30/2022 7:47,3/30/2022 7:57,10,5,1
2,3/30/2022 11:28,3/30/2022 11:38,10,5,1
2,3/30/2022 11:38,3/30/2022 11:48,10,5,1
2,3/30/2022 12:38,3/30/2022 12:48,10,5,1
2,3/30/2022 13:38,3/30/2022 13:48,10,5,1
2,3/30/2022 14:33,3/30/2022 14:43,10,5,1
2,3/30/2022 15:23,3/30/2022 15:33,10,5,1
2,3/30/2022 16:13,3/30/2022 16:23,10,5,1
2,3/30/2022 17:29,3/30/2022 17:39,10,5,1
2,3/30/2022 18:44,3/30/2022 18:54,10,5,1
2,3/30/2022 19:14,3/30/2022 19:24,10,5,1
2,3/30/2022 20:34,3/30/2022 20:44,10,5,1
2,3/31/2022 0:44,3/31/2022 0:54,10,5,1
3,3/10/2022 0:06,3/10/2022 3:06,180,20,8
3,3/10/2022 5:25,3/10/2022 6:05,40,20,1
3,3/10/2022 9:24,3/10/2022 10:04,40,20,1
3,3/10/2022 15:03,3/10/2022 15:42,39,20,1
3,3/10/2022 18:42,3/10/2022 19:21,39,20,1
3,3/10/2022 22:20,3/10/2022 23:00,40,20,1
3,3/10/2022 23:20,3/11/2022 0:00,40,20,1
3,3/11/2022 2:39,3/11/2022 3:19,40,20,1
3,3/11/2022 11:17,3/11/2022 21:54,637,20,31
3,3/12/2022 0:53,3/12/2022 1:33,40,20,1
3,3/12/2022 6:32,3/12/2022 22:27,955,20,47
3,3/13/2022 0:07,3/13/2022 0:48,41,20,1
3,3/13/2022 1:26,3/13/2022 2:06,40,20,1
3,3/13/2022 9:24,3/13/2022 10:44,80,20,3
3,3/13/2022 19:42,3/13/2022 22:21,159,20,7
3,3/14/2022 14:17,3/14/2022 14:57,40,20,1
3,3/15/2022 15:10,3/15/2022 15:50,40,20,1
3,3/15/2022 15:50,3/15/2022 16:30,40,20,1
3,3/15/2022 17:29,3/15/2022 18:09,40,20,1
3,3/15/2022 19:09,3/15/2022 20:09,60,20,2
3,3/17/2022 18:36,3/17/2022 19:16,40,20,1
3,3/18/2022 4:14,3/18/2022 4:53,39,20,1
3,3/18/2022 22:09,3/19/2022 2:08,239,20,11
3,3/19/2022 11:45,3/19/2022 13:45,120,20,5
3,3/19/2022 13:45,3/19/2022 22:42,537,20,26
3,3/20/2022 11:59,3/20/2022 22:16,617,20,30
3,3/20/2022 22:16,3/20/2022 22:56,40,20,1
3,3/21/2022 14:12,3/21/2022 14:51,39,20,1
3,3/21/2022 18:11,3/21/2022 18:50,39,20,1
3,3/21/2022 21:30,3/21/2022 22:09,39,20,1
3,3/21/2022 22:09,3/21/2022 22:49,40,20,1
3,3/22/2022 4:08,3/22/2022 4:48,40,20,1
